Product_Description,Cluster_Producte
Google Women's Short Sleeve Hero Tee Red Heather,5
Google Women's Short Sleeve Hero Tee Sky Blue,5
Google Women's Short Sleeve Hero Tee White,5
Google Women's Short Sleeve Performance Tee Charcoal,1
Google Women's Short Sleeve Performance Tee Navy,4
Google Women's Short Sleeve Performance Tee Pewter,0
Google Women's Softshell Jacket Black/Grey,3
Google Women's Tee Grey,0
Google Women's Vintage Hero Tee Black,1
Google Women's Vintage Hero Tee Lavender,1
Google Women's Vintage Hero Tee Platinum,1
Google Women's Vintage Hero Tee White,5
Google Women's Yoga Jacket Black,1
Google Women's Yoga Pants,4
Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,5
Google Wool Heather Cap Heather/Navy,4
Google Youth Baseball Raglan Heather/Black,0
Google Youth Girl Hoodie,4
Google Youth Girl Tee Green,4
Google Youth Short Sleeve T-shirt Green,5
Google Youth Short Sleeve T-shirt Royal Blue,4
Google Youth Short Sleeve T-shirt Yellow,5
Google Youth Short Sleeve Tee Red,0
Google Youth Short Sleeve Tee White,5
Google Youth Sports Tee Navy,5
Google Zip Hoodie Black,7
Google Zipper-front Sports Bag,5
Grip Highlighter Pen 3 Pack,4
Gunmetal Roller Ball Pen,5
Insulated Bottle,4
Keyboard DOT Sticker,0
Large Zipper Top Tote Bag,4
Leather and Metal Ballpoint Pen,4
Leatherette Journal,5
Maze Pen,0
Men's Softshell Jacket Black/Grey,4
Men's Weatherblock Shell Jacket Black,5
Metal Texture Roller Pen,1
Nest Cam IQ - USA,0
Nest Cam IQ Outdoor - USA (Preorder),3
Nest Cam Indoor Security Camera - CA,4
Nest Cam Indoor Security Camera - USA,0
Nest Cam Outdoor Security Camera - CA,5
Nest Cam Outdoor Security Camera - USA,0
Nest Detect - USA,7
Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,0
Nest Learning Thermostat 3rd Gen-USA - Copper,0
Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,0
Nest Learning Thermostat 3rd Gen-USA - White,0
Nest Protect Smoke + CO Black Battery Alarm-USA,4
Nest Protect Smoke + CO Black Wired Alarm-USA,4
Nest Protect Smoke + CO White Battery Alarm - CA,4
Nest Protect Smoke + CO White Battery Alarm-USA,0
Nest Protect Smoke + CO White Wired Alarm - CA,4
Nest Protect Smoke + CO White Wired Alarm-USA,0
Nest Secure Alarm System Starter Pack - USA,3
Nest Tag - USA,7
Nest Thermostat E - USA,3
Pen Pencil & Highlighter Set,5
Rainbow Stylus Pen,4
Recycled Paper Journal Set,4
Red Shine 15 oz Mug,5
Red Spiral Google Notebook,4
Retractable Ballpoint Pen Red,4
Reusable Shopping Bag,4
Rubber Grip Ballpoint Pen 4 Pack,5
SPF-15 Slim & Slender Lip Balm,5
Satin Black Ballpoint Pen,1
Seat Pack Organizer,5
Softsided Travel Pouch Set,4
Spiral Notebook and Pen Set,5
Sport Bag,0
Straw Beach Mat,4
Suitcase Organizer Cubes,5
Switch Tone Color Crayon Pen,5
UpCycled Bike Saddle Bag,5
Waterproof Backpack,5
Waterproof Gear Bag,5
Waze Baby on Board Window Decal,5
Waze Dress Socks,0
Waze Men's Short Sleeve Tee,5
Waze Men's Typography Short Sleeve Tee,4
Waze Mobile Phone Vent Mount,0
