support,itemsets
0.1054628224582701,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Google Doodle Decal'})"
0.1251896813353566,"frozenset({'Google Doodle Decal', 'Nest Protect Smoke + CO White Battery Alarm-USA'})"
0.11987860394537178,"frozenset({'Google Doodle Decal', 'Nest Protect Smoke + CO White Wired Alarm-USA'})"
0.1411229135053111,"frozenset({'Google Kick Ball', 'Nest Cam Indoor Security Camera - USA'})"
0.13429438543247343,"frozenset({'Google Kick Ball', 'Nest Cam Outdoor Security Camera - USA'})"
0.13505311077389984,"frozenset({'Google Kick Ball', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.1062215477996965,"frozenset({'Google Kick Ball', 'Nest Protect Smoke + CO White Battery Alarm-USA'})"
0.10091047040971168,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', 'Google Kick Ball'})"
0.11153262518968134,"frozenset({""Google Men's  Zip Hoodie"", 'Google Laptop and Cell Phone Stickers'})"
0.15022761760242792,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black"", 'Google Laptop and Cell Phone Stickers'})"
0.10698027314112292,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Navy"", 'Google Laptop and Cell Phone Stickers'})"
0.12215477996965099,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee White"", 'Google Laptop and Cell Phone Stickers'})"
0.11911987860394538,"frozenset({""Google Men's Bike Short Sleeve Tee Charcoal"", 'Google Laptop and Cell Phone Stickers'})"
0.11456752655538695,"frozenset({""Google Men's Vintage Badge Tee Black"", 'Google Laptop and Cell Phone Stickers'})"
0.11608497723823975,"frozenset({'Google Metallic Notebook Set', 'Google Laptop and Cell Phone Stickers'})"
0.20409711684370258,"frozenset({'Google Sunglasses', 'Google Laptop and Cell Phone Stickers'})"
0.1449165402124431,"frozenset({'Google Twill Cap', 'Google Laptop and Cell Phone Stickers'})"
0.12898330804248861,"frozenset({'Maze Pen', 'Google Laptop and Cell Phone Stickers'})"
0.13353566009104703,"frozenset({'Nest Cam IQ - USA', 'Google Laptop and Cell Phone Stickers'})"
