Product_Description,1,2,3,4,5,6,7,8,9,10,11,12,Cluster_Producte
Google Infant Zip Hood Pink,4,5,14,5,5,7,6,0,0,0,0,0,7
Google Infant Zip Hood Royal Blue,6,5,11,7,8,6,6,0,0,0,0,0,7
Google Infuser-Top Water Bottle,6,6,14,5,2,0,0,0,0,0,0,0,4
Google Insulated Stainless Steel Bottle,12,13,12,4,0,0,0,0,0,0,0,0,2
Google Kick Ball,20,20,20,31,22,27,28,35,44,34,0,0,3
Google Laptop Backpack,2,8,8,7,10,7,12,4,0,1,0,0,1
Google Laptop Tech Backpack,0,0,0,4,14,1,0,0,0,0,0,0,6
Google Laptop and Cell Phone Stickers,80,58,67,60,61,54,57,62,69,76,90,72,3
Google Large Standard Journal Navy,0,0,0,0,0,0,0,0,0,18,43,25,0
Google Leather Journal-Black,0,7,2,10,8,5,11,5,0,0,0,0,1
Google Leather Journal-Brown,2,4,7,7,6,7,8,0,0,0,0,0,7
Google Leather Perforated Journal,1,1,2,2,3,4,28,8,0,1,0,0,5
Google Luggage Tag,7,6,14,11,10,10,33,15,0,3,0,0,3
Google Lunch Bag,5,11,10,10,12,7,10,15,13,3,0,0,3
Google Men's  Zip Hoodie,56,41,45,28,40,18,26,68,38,2,0,0,3
Google Men's 100% Cotton Short Sleeve Hero Tee Black,35,35,52,54,43,63,60,95,62,31,24,41,3
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,33,28,40,35,26,53,40,57,24,6,14,0,3
Google Men's 100% Cotton Short Sleeve Hero Tee Red,38,11,36,23,29,32,39,37,13,4,9,0,3
Google Men's 100% Cotton Short Sleeve Hero Tee White,44,51,63,41,54,65,56,95,28,7,0,0,3
Google Men's 3/4 Sleeve Raglan Henley Grey,3,2,17,3,0,0,0,0,0,0,0,0,2
Google Men's Airflow 1/4 Zip Pullover Black,3,3,10,5,15,3,15,1,0,0,0,0,1
Google Men's Airflow 1/4 Zip Pullover Lapis,2,1,5,4,3,5,8,19,19,28,2,2,5
Google Men's Around The Block Short Sleeve Tee Ash,9,5,6,20,13,2,0,0,0,0,0,0,7
Google Men's Bayside Graphic Tee,1,2,8,5,11,10,10,18,19,17,16,1,5
Google Men's Bike Short Sleeve Tee Charcoal,29,27,32,54,73,63,51,60,41,1,0,0,1
Google Men's Colorblock Tee White/Heather,0,0,5,2,1,4,3,4,1,2,0,0,3
Google Men's Convertible Vest-Jacket Pewter,0,1,2,4,1,4,2,0,0,0,0,0,7
Google Men's Lightweight Microfleece Jacket Black,11,7,11,6,7,13,3,1,2,10,4,0,3
Google Men's Long & Lean Tee Charcoal,0,0,3,26,13,13,75,78,35,2,0,1,5
Google Men's Long & Lean Tee Grey,1,0,1,2,7,1,4,12,11,3,0,0,5
Google Men's Long Sleeve Pullover Badge Tee Heather,3,12,13,3,0,0,0,0,0,0,0,0,2
Google Men's Long Sleeve Raglan Cranberry,3,5,7,4,0,0,0,0,0,0,0,0,4
Google Men's Long Sleeve Raglan Ocean Blue,26,9,15,22,4,20,37,15,11,3,0,0,3
Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,6,1,7,2,5,4,6,9,12,17,4,0,3
Google Men's Performance 1/4 Zip Pullover Heather/Black,3,3,2,0,0,6,11,17,11,18,21,0,5
Google Men's Performance Full Zip Jacket Black,2,7,20,8,8,7,17,11,4,8,0,1,3
Google Men's Performance Hero Tee Gunmetal,4,3,9,14,15,14,1,0,0,0,0,0,6
Google Men's Performance Polo Grey/Black,4,4,3,1,1,0,0,0,0,4,1,0,4
Google Men's Pullover Hoodie Grey,19,7,14,9,9,16,9,20,6,0,0,0,3
