antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Cam Outdoor Security Camera - USA', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Cam Indoor Security Camera - USA'})",0.14871016691957512,0.21623672230652505,0.11987860394537178,0.8061224489795918,3.7279627640529895,1.0,0.08772200487702664,4.042568484945292,0.8595861819986914,0.48916408668730643,0.7526325147677658,0.6802542069459363
"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Cam Indoor Security Camera - USA'})",0.13125948406676782,0.21623672230652505,0.1054628224582701,0.8034682080924855,3.715688064090863,1.0,0.07707970185202667,3.9879719717932693,0.8412993622569193,0.4357366771159874,0.7492459808963174,0.6455937531690498
"frozenset({'Nest Secure Alarm System Starter Pack - USA', 'Nest Learning Thermostat 3rd Gen-USA - White'})","frozenset({'Nest Thermostat E - USA', 'Nest Cam Outdoor Security Camera - USA'})",0.13732928679817905,0.2071320182094082,0.1054628224582701,0.7679558011049724,3.707566834638658,1.0,0.07701753012450464,3.416883445335646,0.846535436558405,0.4412698412698413,0.7073356419678025,0.6385566551312407
"frozenset({'Nest Secure Alarm System Starter Pack - USA', 'Nest Learning Thermostat 3rd Gen-USA - White'})","frozenset({'Nest Thermostat E - USA', 'Nest Cam Indoor Security Camera - USA'})",0.13732928679817905,0.21623672230652505,0.10925644916540213,0.7955801104972376,3.679209072404769,1.0,0.07956081431147115,3.834085223311325,0.844125622984462,0.4472049689440994,0.7391815930642394,0.6504216341959872
"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Cam Indoor Security Camera - USA', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})",0.12898330804248861,0.22458270106221548,0.1054628224582701,0.8176470588235294,3.640739268680445,1.0,0.07649540274614823,4.252288413529786,0.8327400797132329,0.42507645259938837,0.7648325083458041,0.643620826709062
"frozenset({'Nest Thermostat E - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Cam Indoor Security Camera - USA', 'Nest Learning Thermostat 3rd Gen-USA - White'})",frozenset({'Nest Secure Alarm System Starter Pack - USA'}),0.1471927162367223,0.19802731411229135,0.1054628224582701,0.7164948453608246,3.618161709523245,1.0,0.07631464420501932,2.8287763829493713,0.8485112266059038,0.43987341772151894,0.646490261291927,0.6245309475846268
"frozenset({'Nest Thermostat E - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Cam Outdoor Security Camera - USA', 'Nest Learning Thermostat 3rd Gen-USA - White'})",frozenset({'Nest Secure Alarm System Starter Pack - USA'}),0.1441578148710167,0.19802731411229135,0.10318664643399089,0.7157894736842104,3.6145997176850164,1.0,0.07463946154678652,2.8217557466419367,0.8451840842720068,0.4317460317460317,0.645610715530548,0.6184311353095382
"frozenset({'Nest Cam Outdoor Security Camera - USA', 'Nest Cam Indoor Security Camera - USA', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})",0.1479514415781487,0.22458270106221548,0.11987860394537178,0.8102564102564103,3.6078309078309077,1.0,0.08665126956970257,4.086658737645081,0.8483379735563644,0.4744744744744744,0.7553013196848813,0.672020097020097
"frozenset({'Nest Thermostat E - USA', 'Nest Cam Outdoor Security Camera - USA', 'Nest Cam Indoor Security Camera - USA', 'Nest Learning Thermostat 3rd Gen-USA - White'})",frozenset({'Nest Secure Alarm System Starter Pack - USA'}),0.1426403641881639,0.19802731411229135,0.10166919575113809,0.7127659574468085,3.599331539903807,1.0,0.07342250754695692,2.7920530545720226,0.8423193765684851,0.4253968253968254,0.6418406167595966,0.6130879595663161
"frozenset({'Nest Cam Indoor Security Camera - USA', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Cam Outdoor Security Camera - USA'})",0.1661608497723824,0.2071320182094082,0.1236722306525038,0.7442922374429224,3.593322963185977,1.0,0.08925499849175994,3.1006801430739217,0.8655219189782123,0.4954407294832826,0.6774901138275328,0.6706809172562598
